,day,jurisdiction,NPI,S,E,P,I,A,R,D
419,29,13,0,861829,77,68,43,19,80,2
420,30,0,0,228957,10,11,3,3,11,0
421,30,1,0,129037,1,0,0,0,1,0
422,30,2,0,579028,45,30,32,18,55,0
423,30,3,0,20605,0,0,0,0,0,0
424,30,4,0,809595,53,52,42,18,67,0
425,30,5,0,71006,6,3,4,1,8,0
426,30,6,0,465786,12,11,5,4,21,0
427,30,7,0,162290,4,9,3,2,8,0
428,30,8,0,1631663,98,90,59,22,96,0
429,30,9,0,14251,0,0,0,0,0,0
430,30,10,0,725754,50,39,22,17,50,1
431,30,11,0,530600,60,47,38,17,57,0
432,30,12,0,800839,25,22,9,3,32,0
433,30,13,0,861806,80,72,45,23,90,2
434,31,0,0,228951,13,12,4,3,12,0
435,31,1,0,129037,1,0,0,0,1,0
436,31,2,0,579014,46,37,34,20,57,0
437,31,3,0,20605,0,0,0,0,0,0
438,31,4,0,809566,70,51,44,20,76,0
439,31,5,0,71006,0,8,4,2,8,0
440,31,6,0,465782,14,12,4,5,22,0
441,31,7,0,162283,11,4,6,4,8,0
442,31,8,0,1631622,103,109,68,24,102,0
443,31,9,0,14251,0,0,0,0,0,0
444,31,10,0,725738,53,43,25,20,53,1
445,31,11,0,530577,69,49,38,18,68,0
446,31,12,0,800834,18,26,15,5,32,0
447,31,13,0,861784,80,79,46,25,102,2
448,32,0,0,228947,15,9,6,3,15,0
449,32,1,0,129037,1,0,0,0,1,0
450,32,2,0,578995,53,39,35,23,63,0
451,32,3,0,20605,0,0,0,0,0,0
452,32,4,0,809545,75,54,48,23,82,0
453,32,5,0,71003,3,6,5,3,8,0
454,32,6,0,465776,19,13,3,5,23,0
455,32,7,0,162281,8,7,8,4,8,0
456,32,8,0,1631582,114,106,83,28,115,0
457,32,9,0,14251,0,0,0,0,0,0
458,32,10,0,725712,71,36,35,20,58,1
459,32,11,0,530555,71,58,43,19,73,0
460,32,12,0,800821,28,24,15,6,36,0
461,32,13,0,861734,106,84,48,30,114,2
