Data Table for Cumulative Deaths - Massachusetts
Date generated: Sun Jul 28 2024 14:32:58 GMT-0500 (Central Daylight Saving Time)
Geography,Date,Cumulative Deaths,Death Data As Of
Massachusetts,May 23 2020,6610,Jul 25 2024
Massachusetts,May 16 2020,6082,Jul 25 2024
Massachusetts,May  9 2020,5293,Jul 25 2024
Massachusetts,May  2 2020,4373,Jul 25 2024
Massachusetts,Apr 25 2020,3262,Jul 25 2024
Massachusetts,Apr 18 2020,2024,Jul 25 2024
Massachusetts,Apr 11 2020,926,Jul 25 2024
Massachusetts,Apr  4 2020,289,Jul 25 2024
Massachusetts,Mar 28 2020,60,Jul 25 2024
Massachusetts,Mar 21 2020,Counts 1-9,Jul 25 2024
Massachusetts,Mar 14 2020,Counts 1-9,Jul 25 2024
Massachusetts,Mar  7 2020,Counts 1-9,Jul 25 2024
Massachusetts,Feb 29 2020,Counts 1-9,Jul 25 2024
Massachusetts,Feb 22 2020,Counts 1-9,Jul 25 2024
Massachusetts,Feb 15 2020,0,Jul 25 2024
Massachusetts,Feb  8 2020,0,Jul 25 2024
Massachusetts,Feb  1 2020,0,Jul 25 2024
Massachusetts,Jan 25 2020,0,Jul 25 2024
Massachusetts,Jan 18 2020,0,Jul 25 2024
Massachusetts,Jan 11 2020,0,Jul 25 2024
